cycle,identity,curiosity_level,skepticism_level,num_core_values,num_fears,thought_word_count,thought_gpt_usage
14,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,260,1073
15,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,295,802
16,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,315,903
17,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,275,768
18,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,271,833
19,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,339,781
20,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,275,832
21,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,285,779
22,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,201,806
23,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,296,866
24,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,245,859
25,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,270,707
26,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,280,1309
27,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,330,980
28,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,239,741
29,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,287,808
30,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,299,865
31,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,262,956
32,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,207,699
33,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,246,756
34,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,269,887
35,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,278,767
36,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
37,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,253,882
38,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,256,819
39,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,276,846
40,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,342,1052
41,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,199,1011
42,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,237,796
43,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,323,838
44,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,288,868
45,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,281,803
46,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,289,926
47,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,331,856
48,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,298,823
49,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
50,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,197,947
51,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,298,941
52,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,253,947
53,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,299,811
54,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,344,833
55,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,245,765
56,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,301,898
57,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,278,860
58,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,324,786
59,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,313,823
60,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,252,1204
61,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,290,939
62,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,246,758
63,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,242,1275
64,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,320,911
65,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,338,989
66,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,256,847
67,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,292,943
68,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,252,764
69,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,246,835
70,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,237,819
71,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,252,901
72,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,290,1007
73,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
74,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,303,891
75,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,320,1028
76,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,331,852
77,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,266,1171
78,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,260,766
79,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,281,784
80,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,272,826
81,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,235,714
82,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,274,959
83,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,297,795
84,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,306,875
85,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,290,859
86,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,254,801
87,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,294,863
88,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
89,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,205,688
90,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,347,885
91,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,339,1060
92,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,252,1010
93,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,241,930
94,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,188,729
95,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,252,890
96,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,263,826
97,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,188,1258
98,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,315,901
99,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,247,684
100,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,298,897
101,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,241,877
102,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,229,925
103,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,237,870
104,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,295,801
105,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,259,709
106,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,305,894
107,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,234,853
108,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,258,888
109,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,236,810
110,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,300,1064
111,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,266,1022
112,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,231,798
113,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,279,797
114,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,404,943
115,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,342,1136
116,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,341,920
117,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,290,866
118,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,298,882
119,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,259,971
120,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,273,792
121,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,261,772
122,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,210,957
123,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,220,904
124,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,231,790
125,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,252,820
126,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,300,927
127,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,225,784
128,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,326,922
129,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
130,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,321,853
131,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,295,938
132,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,359,879
133,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,331,973
134,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,329,918
135,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,249,921
136,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,249,877
137,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,209,769
138,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,277,982
139,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,268,767
140,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,249,814
141,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,261,823
142,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,254,878
143,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,271,977
144,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,295,881
145,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,317,879
146,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,244,809
147,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,243,740
148,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,250,1054
149,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,231,702
150,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,270,750
151,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,357,946
152,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,230,728
153,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,305,828
154,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,307,952
155,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,288,859
156,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,266,970
157,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,224,833
158,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,352,858
159,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,262,839
160,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,205,662
161,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,283,1074
162,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,273,685
163,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,275,897
164,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,273,814
165,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,269,754
166,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,276,838
167,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,297,854
168,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,204,673
169,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,204,799
170,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,261,805
171,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,267,817
172,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,253,625
173,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,276,713
174,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,268,890
175,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,264,761
176,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,258,761
177,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,264,763
178,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,291,854
179,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,318,959
180,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,264,766
181,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,284,976
182,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,243,798
183,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,244,793
184,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,238,852
185,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,322,904
186,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,304,816
187,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,261,1136
188,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,308,941
189,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,315,836
190,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,247,806
191,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,261,752
192,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,336,901
193,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,269,819
194,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,238,741
195,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,260,827
196,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,340,929
197,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,231,730
198,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,298,800
199,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,306,887
200,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,279,912
201,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,323,792
202,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,315,970
203,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,188,745
204,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,257,826
205,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,266,897
206,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,238,1173
207,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,276,727
208,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,249,884
209,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
210,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,261,822
211,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,245,733
212,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,270,718
213,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,251,876
214,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,302,878
215,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,305,821
216,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,237,788
217,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,233,908
218,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,271,893
219,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,236,729
220,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,260,814
221,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,268,774
222,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,280,853
223,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,339,1106
224,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,260,885
225,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,254,880
226,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,231,640
227,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,292,920
228,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,294,986
229,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,262,763
230,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,242,745
231,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,304,866
232,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,206,883
233,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
234,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,305,891
235,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
236,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,229,710
237,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,301,892
238,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,301,952
239,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,322,1082
240,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,240,785
241,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
242,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,251,1190
243,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,309,828
244,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,285,711
245,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,274,778
246,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,379,978
247,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,299,858
248,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,225,848
249,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
250,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
251,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,308,823
252,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,305,934
253,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,326,840
254,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,319,884
255,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,271,754
256,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,251,921
257,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,264,750
258,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,239,854
259,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,285,864
260,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,328,889
261,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,235,926
262,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
263,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,341,972
264,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
265,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,317,1021
266,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,268,842
267,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,286,974
268,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
269,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,282,975
270,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,284,841
271,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,307,813
272,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,299,1176
273,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,245,858
274,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,250,758
275,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,255,758
276,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,274,769
277,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,259,819
278,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,331,966
279,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,266,698
280,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,228,838
281,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,216,696
282,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,300,797
283,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
284,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,270,825
285,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,237,1179
